algorithm,nodes,burst_cold_ms,burst_warm_ms,spark_total_ms,burst_profile,spark_profile,cold_winner,spark_over_burst_cold
bfs,100000,8849.0,1049.0,14896.0,p=8 g=4 mem=3072MB,p=4 e=4 mem=6g,burst,1.6833540513052323
bfs,500000,8839.0,1564.0,20176.67,p=8 g=4 mem=3072MB,p=4 e=4 mem=6g,burst,2.2826869555379568
bfs,1000000,8828.0,1887.0,28734.67,p=4 g=2 mem=4096MB,p=8 e=8 mem=6g,burst,3.25494676030811
bfs,2000000,10860.0,2792.0,39382.0,p=8 g=4 mem=3072MB,p=16 e=16 mem=3g,burst,3.6263351749539594
labelpropagation,100000,8956.0,1084.0,41606.33,p=8 g=4 mem=3072MB,p=4 e=4 mem=6g,burst,4.645637561411345
labelpropagation,500000,8930.0,1525.0,105609.33,p=8 g=4 mem=3072MB,p=16 e=16 mem=3g,burst,11.82635274356103
labelpropagation,1000000,10930.0,2052.0,162753.33,p=4 g=2 mem=4096MB,p=16 e=16 mem=3g,burst,14.890515096065872
labelpropagation,2000000,12960.0,2971.0,355506.33,p=4 g=2 mem=4096MB,p=16 e=16 mem=3g,burst,27.431043981481483
sssp,100000,7058.0,1268.0,19904.33,p=4 g=2 mem=4096MB,p=4 e=4 mem=6g,burst,2.8201090960612074
sssp,500000,8922.0,2019.0,31498.0,p=8 g=4 mem=3072MB,p=8 e=8 mem=6g,burst,3.530374355525667
sssp,1000000,10928.0,3111.0,39181.67,p=4 g=2 mem=4096MB,p=8 e=8 mem=6g,burst,3.585438323572474
sssp,2000000,12893.0,5113.0,57941.0,p=4 g=2 mem=4096MB,p=16 e=16 mem=3g,burst,4.493988986271621
wcc,100000,10901.0,3156.0,17611.0,p=4 g=1 mem=4096MB,p=8 e=8 mem=6g,burst,1.615539858728557
wcc,500000,10877.0,3321.0,24047.0,p=32 g=8 mem=2048MB,p=8 e=8 mem=6g,burst,2.2108118047255676
wcc,1000000,8889.0,2586.0,33065.0,p=4 g=1 mem=4096MB,p=16 e=16 mem=3g,burst,3.7197660029249633
wcc,2000000,10892.0,4336.0,42978.33,p=4 g=1 mem=4096MB,p=16 e=16 mem=3g,burst,3.9458621006243115
